Name,text_en,text_de-DE,Comments
Flood_Cologne_Lvl1_1,"There might be civilians trapped by the flood, so I'll see if I can find and protect them.",Es könnte Zivilisten geben die von der Flut eingesperrt sind. Ich werde versuchen sie zu finden und zu retten.,
Flood_Cologne_Lvl2_1,There is an electrical distribution box right ahead. I should not step into the open cables. ,Da vorne ist ein beschädigter Stromkasten. Ich sollte auf keinen Fall in die Kabel reinlaufen.,
Flood_Cologne_Lvl2_2,This are will be flooded soon. I should avoid staying here any longer than neccessary.,Diese Gegend wird bald überflutet sein. Ich sollte hier nicht länger als absolut nötig bleiben.,
Flood_Cologne_Lvl3_1,I should look for something to repair this box with. I cannot pass around it without walking into the sparks.,"Irgendwo muss hier etwas sein, mit dem ich den Stromkasten reparieren kann.","Beim zweiten Versuch, nachdem Character schon 1x in diesem Level gestorben ist"
Flood_Cologne_Lvl3_2,Now the box is no longer a threat. I can only use a Wirecutter once though. ,Jetzt kann der Stromkasten niemandem mehr gefährlich werden. Ich kann Kabelschneider aber nur einmal benutzen.,nachdem character box nr. 1 repariert hat und das screwdriver icon verschwunden ist
Flood_Cologne_Lvl3_3,"When areas of a city get flooded there is a danger that the water gets electrified. I should not step into it, even with protection.","Wenn eine Stadt überflutet gibt es ein hohes Risiko für Stromschläge, da Wasser unter Strom gesetzt werden kann. Ich sollte dort nicht hindurch.",nachdem spieler turn nummer 9 gemacht hat und einige tiles überflutet und unter Strom gesetzt werden
Flood_Cologne_Lvl3_4,I should look for something to switch this box off with.,"Ich sollte mich nach etwas umsehen, mit dem ich den Stromkasten ausschalten kann.",nachdem spieler von der box nr. 3 getötet wurde und dann das nächste mal auf die node davor gelangt
Flood_Cologne_Lvl5_1,Someone one the other side needs my help! I should look for something to switch the box off before he runs into it!,"Jemand auf der anderen Seite braucht meine Hilfe! Ich sollte den Stromkasten ausschalten, bevor er dort reinläuft. ",
Flood_Cologne_Lvl5_2,With this lifeboat I can traverse flooded areas. But I should avoid them if they are electrified.,"Mit dem Rettungsboot kann ich über die überfluteten Straßen fahren. Aber auf keinen Fall, wenn diese unter Strom stehen!",wenn charakter da erste mal rettungsboot aufnimmt
Flood_Cologne_Lvl5_3,Now I have to get to safety before the water level rises even more. Let's get to the high building over there together. Hold onto me!,"Jetzt sollten wir uns in Sicherheit bringen, bevor der Pegelstand weiter ansteigt. Wir müssen zu dem hohen Gebäude dort drüben gelangen.",wenn charakter das opfer gerettet hat
Flood_Cologne_Lvl5_4,"I need to rescue the civilian first and bring him here, before I go to safety.",Ich muss zuerst den Zivilisten retten und hier her bringen.,When entering the second to final node before without having picked up the victim
